name,algorithm,k,silhouette_score,chi
kotek-0.png,kmeans,5,0.5206129105875382,17523.73698404381
kotek-0.png,kmeans,6,0.5072342321138181,16654.507707746176
kotek-0.png,kmeans,7,0.4923856766946363,16300.666829515865
kotek-0.png,kmeans,8,0.4706873516136694,16040.752877533523
kotek-0.png,kmeans,9,0.4714687174657032,15940.624381841058
kotek-0.png,kmeans,10,0.44839945472987874,15774.956751086855
kotek-0.png,kmeans,11,0.44123713055456015,15697.456952229957
kotek-0.png,kmeans,12,0.43500549306501757,15417.671769558137
kotek-0.png,kmeans,13,0.42562197005950975,15204.783695187358
kotek-0.png,kmeans,14,0.4258170779607089,14856.333098007357
kotek-0.png,kmeans,15,0.4283487127513571,14476.980865949163
kotek-0.png,kmeans,16,0.41970104373766376,14287.162009724372
kotek-0.png,kmeans,17,0.41845861301109866,14051.926983485615
kotek-0.png,kmeans,18,0.41655364465225525,13811.870948713602
kotek-0.png,kmeans,19,0.4090075989717919,13692.160891400836
kotek-0.png,kmeans,20,0.40944376100602103,13586.088237916003
kotek-0.png,kmedoids,5,0.4414955018440237,15877.20962998927
kotek-0.png,kmedoids,6,0.38841292291866136,14774.550070941763
kotek-0.png,kmedoids,7,0.4007193485245627,14312.219455780694
kotek-0.png,kmedoids,8,0.4070976918669028,13927.568726697024
kotek-0.png,kmedoids,9,0.4102576863135332,13321.031331525714
kotek-0.png,kmedoids,10,0.4057808791437612,13358.021349975985
kotek-0.png,kmedoids,11,0.3997385092764287,13112.301014394394
kotek-0.png,kmedoids,12,0.40304016644773244,13604.314791251647
kotek-0.png,kmedoids,13,0.3879249912864627,13334.629646306968
kotek-0.png,kmedoids,14,0.3874900874089016,13292.018090690433
kotek-0.png,kmedoids,15,0.3909623741200441,13506.503231781153
kotek-0.png,kmedoids,16,0.374141204089078,13152.89736004979
kotek-0.png,kmedoids,17,0.3599250585509928,12668.776254562257
kotek-0.png,kmedoids,18,0.35795741427060224,12497.93267919619
kotek-0.png,kmedoids,19,0.3548843487639177,12319.563887919338
kotek-0.png,kmedoids,20,0.3537038735960186,12166.458009292064
kotek-1.png,kmeans,5,0.410519133153341,24425.497605173645
kotek-1.png,kmeans,6,0.4010174782618073,24225.826089901384
kotek-1.png,kmeans,7,0.3889162987850477,25762.897382012765
kotek-1.png,kmeans,8,0.3873117206296822,26473.636979382027
kotek-1.png,kmeans,9,0.38209023222854566,26371.962405924376
kotek-1.png,kmeans,10,0.36446062495140796,26167.574387866764
kotek-1.png,kmeans,11,0.3580185630404971,26088.041120150978
kotek-1.png,kmeans,12,0.3517512631085507,25644.947421778234
kotek-1.png,kmeans,13,0.347882224659223,25534.877819254885
kotek-1.png,kmeans,14,0.3426323823121879,25226.200025417922
kotek-1.png,kmeans,15,0.34380505715196746,25311.659773607164
kotek-1.png,kmeans,16,0.34260766412059845,25088.721045143502
kotek-1.png,kmeans,17,0.3313057914165297,24762.521776493235
kotek-1.png,kmeans,18,0.33553389903864095,24593.50519562514
kotek-1.png,kmeans,19,0.3275366908949085,24311.663809673628
kotek-1.png,kmeans,20,0.3231065394888911,24020.640002906664
kotek-1.png,kmedoids,5,0.3621328316512449,19716.030273106415
kotek-1.png,kmedoids,6,0.3771511175295101,19766.136726565892
